س 1. آیا تقلید، صرفاً یک مسأله عقلی است یا ادلّه شرعی نیز دارد؟,"ج. تقلید، ادلّه شرعی دارد و عقل نیز حکم می کند که شخص ناآگاه به احکام دین باید به مجتهد جامع الشرایط مراجعه کند.
 "
س 2. به نظر شریف حضرت عالی، عمل به احتیاط بهتر است یا تقلید؟,"ج. چون عمل به احتیاط مستلزم شناسایی موارد و چگونگی احتیاط و صرف وقت بیشتر است، بهتر آن است که مکلّف در احکام دین از مجتهد جامع الشرایط تقلید کند.
 "
س 3. قلمرو احتیاط در احکام دین در بین فتاوای فقها چه اندازه است؟ آیا رعایت آرای فقیهان گذشته نیز لازم است؟,"ج. مراد از احتیاط در موارد آن، رعایت همه احتمالات فقهی است؛ به طوری که مکلّف مطمئن شود که به وظیفه خود عمل کرده است.
 "
س 4. دخترم به زودی به سن تکلیف می رسد و باید برای خود مرجع تقلیدی انتخاب کند، اما درک مسأله تقلید برای او دشوار است، وظیفه ما نسبت به او چیست؟,"ج. اگر وی به تنهایی نمی تواند وظیفه شرعی خود را در این باره تشخیص دهد، وظیفه شما ارشاد و راهنمایی اوست.
 "
س 5. نزد فقها معروف است که تشخیص موضوعات احکام به عهده خود مکلّف است و وظیفه مجتهد تشخیص حکم است، ولی در عین حال مجتهدین در بسیاری موارد، در تشخیص موضوعات احکام نیز اظهار نظر می کنند، آیا متابعت از نظر مجتهد در موضوع نیز واجب است؟,"ج. تشخیص موضوع، موکول به نظر خود مکلّف است و متابعت از مجتهد در تشخیص موضوع واجب نیست، مگر آن که به آن تشخیص اطمینان پیدا کند و یا موضوع از موضوعاتی باشد که تشخیص آن نیاز به استنباط دارد.
 "
س 6. آیا کسی که در آموختن احکام دینیِ مورد نیاز خود کوتاه ی می کند، گناهکار است؟,"ج. اگر نیاموختن احکام به ترک واجب یا ارتکاب حرام بیانجامد، گناهکار است.
 "
س 7. گاهی از افراد کم اطلاع از مسائل دینی درباره مرجع تقلیدشان پرسش می شود، می گویند نمی دانیم، یا اظهار می دارند که از فلان مجتهد تقلید می کنیم، ولی عملاً التزامی به خواندن رساله آن مجتهد و عمل به فتاوای او ندارند، اعمال این گونه افراد چه حکمی دارد؟,ج. اگر اعمال آنان موافق احتیاط یا مطابق با نظر مجتهدی باشد که در گذشته وظیفه‌ تقلید از او را داشته یا اکنون  وظیفه دارند از او تقلید کنند، محکوم به صحّت است.
س 8. با توجه به این که در مسائلی که مجتهد اعلم قائل به وجوب احتیاط است، می توانیم به مجتهد اعلم بعد از وی مراجعه کنیم، اگر اعلم بعد از او نیز قائل به وجوب احتیاط در مسأله باشد، آیا رجوع به اعلم بعد از او جایز است؟ و اگر فتوای مجتهد سوم هم همان گونه بود، آیا می توان به اعلم بعد از آنان مراجعه کرد؟ و همین طور...، لطفاً این مسأله را توضیح دهید.,ج. در مسائلی که مجتهد اعلم احتیاط کرده، رجوع به مجتهدی که در آن مسأله احتیاط نکرده است و فتوای صریح دارد، با رعایت ترتیب الاعلم فالاعلم، اشکال ندارد.
س 9. آیا تقلید از مجتهدی که متصدی مقام مرجعیت نبوده و رساله عملیه هم ندارد، جایز است؟,"ج. در صحّت تقلید از مجتهد جامع الشرایط، تصدّی مرجعیت یا داشتن رساله عملیه شرط نیست، لذا اگر برای مکلّفی که قصد تقلید از او را دارد، ثابت شود که وی مجتهد جامع الشرایط است، تقلید اشکال ندارد.
 "
س 10. آیا تقلید از کسی که در یکی از ابواب فقه مثل نماز و روزه به درجه ی اجتهاد رسیده، جایز است؟,ج. فتوای مجتهد متجزّی برای خودش حجت است و دیگران هم می‌توانند در همان ابواب فقهی که تبحّر دارد، از او تقلید کنند، گر چه احتیاط مستحب آن است که از مجتهد مطلق تقلید کنند.
س 11. آیا تقلید از علمای کشورهای دیگر که دست رسی به آنان امکان ندارد، جایز است؟,"ج. در تقلید از مجتهد جامع الشرایط شرط نیست که مجتهد اهل کشور مکلّف و یا ساکن در محل سکونت او باشد.
 "
